"full_name","url","description","language","stars","forks","archived","created_at","updated_at","pushed_at","topics"
"ORNL/TASMANIAN","https://github.com/ORNL/TASMANIAN","The Toolkit for Adaptive Stochastic Modeling and Non-Intrusive ApproximatioN","C++","74","27","False","2017-10-16T17:32:10Z","2026-04-13T17:56:04Z","2026-04-13T17:55:57Z","high-order-approximation-models;inverse-problems;reduced-order-models;uncertainty-quantification"
"floswald/Tasmanian.jl","https://github.com/floswald/Tasmanian.jl","Julia Wrapper to the Tasmanian library","Julia","32","10","False","2018-05-22T13:32:46Z","2025-07-28T06:49:01Z","2025-07-28T06:48:58Z","function-approximation;julia-package;julialang;tasmanian"
"kvaes/TasmanianTraders-MSAL-AdvancedVueJsExample","https://github.com/kvaes/TasmanianTraders-MSAL-AdvancedVueJsExample","Example to showcase how VueJS & MSAL can play together!","Vue","29","9","True","2019-01-16T12:12:38Z","2023-04-05T14:20:55Z","2019-06-17T12:05:18Z",""
"kvaes/TasmanianTraders-IaC-AzureAutomationDSC","https://github.com/kvaes/TasmanianTraders-IaC-AzureAutomationDSC","Kickstarting the usage of Azure Automation & DSC to streamline your Azure VM deployments. This repository contains ready made examples to use the DSC pull system from Azure Automation to gain more insights into your deployments and do lifecycle management of your nodes.","PowerShell","4","6","True","2017-04-20T07:10:55Z","2023-01-28T17:46:57Z","2017-05-26T13:49:49Z",""
"mholling/nswtopo","https://github.com/mholling/nswtopo","A vector topographic mapping tool, with layers available for NSW and Tasmania. Pre-built maps also available:","Ruby","51","17","False","2011-12-10T13:02:42Z","2026-04-03T03:15:43Z","2026-05-06T06:31:08Z",""
"kvaes/TasmanianTraders-IaC-ActiveDirectory","https://github.com/kvaes/TasmanianTraders-IaC-ActiveDirectory","This repository contains an ARM template to deploy an Active Directory Domain Controller whilst using a DSC pull system as provided by Azure Automation. This enables you to have gain more insights into your deployments and maintain them over an active system lifecycle.","PowerShell","4","3","True","2017-04-14T09:23:04Z","2023-01-28T17:46:57Z","2017-05-06T10:25:40Z",""
"kvaes/TasmanianTraders-IaC-Network","https://github.com/kvaes/TasmanianTraders-IaC-Network","Contains a sample network reference architecture for Azure. The code can be used for Infrastructure-as-Code and contains a pester file for unit / integration testing.","PowerShell","1","4","True","2017-04-10T13:01:52Z","2023-01-28T17:46:56Z","2018-04-17T17:37:46Z",""
"TASmanianDevilBIM/TASmanianDevil","https://github.com/TASmanianDevilBIM/TASmanianDevil","TASmanianDevil is a free and open source plugin for Dynamo to help engineers and designers using TAS to perform thermal and daylight simulation.","C#","4","2","False","2016-05-25T18:26:54Z","2024-11-02T13:48:53Z","2024-11-02T13:48:49Z",""
"wghuneke/UTasIMAS_PhDThesis_Template","https://github.com/wghuneke/UTasIMAS_PhDThesis_Template","A Latex template for a PhD thesis at the Institute for Marine and Antarctic Studies at the University of Tasmania.","TeX","14","10","False","2020-06-01T06:49:18Z","2025-09-11T00:25:46Z","2020-06-01T07:54:33Z",""
"alexgleith/tasmap.org","https://github.com/alexgleith/tasmap.org","My Map of Tasmania","JavaScript","5","2","False","2016-07-30T00:58:38Z","2026-01-05T13:41:40Z","2017-07-17T10:53:03Z",""
"T3A2Group/client","https://github.com/T3A2Group/client","Tasmania Resort MERN Project Front-End","JavaScript","1","5","False","2022-07-12T23:31:11Z","2023-05-15T13:11:33Z","2022-08-04T07:15:31Z",""
"T3A2Group/server","https://github.com/T3A2Group/server","Tasmania Resort MERN Project Back-end","JavaScript","0","4","False","2022-07-12T23:43:56Z","2022-08-02T00:53:30Z","2022-08-04T07:19:06Z",""
"TrustEval/CoTrRank_Trust_Evaluation","https://github.com/TrustEval/CoTrRank_Trust_Evaluation","This Git repository consists of the Tasmania Twitter dataset used in the paper CoTrRank: Trust Evaluation of Users and Tweets",,"4","4","False","2020-07-14T09:38:31Z","2024-09-24T11:32:31Z","2020-07-14T10:36:35Z",""
"kvaes/TasmanianTraders-IoT-ConnectedVehicle-Functions","https://github.com/kvaes/TasmanianTraders-IoT-ConnectedVehicle-Functions","Azure Function examples of having a custom authenticaton proces for the Azure IoT Suite","JavaScript","0","2","True","2017-10-12T17:53:28Z","2023-01-28T17:46:57Z","2017-10-18T18:40:09Z",""
"FuryGamesPtyLtd/Tasmania","https://github.com/FuryGamesPtyLtd/Tasmania","Tasmania Unreal Plugin containing third party libraries","C++","3","0","False","2022-07-06T20:50:53Z","2024-01-09T16:00:46Z","2022-07-07T02:50:52Z",""
"mbaril010/tasmania","https://github.com/mbaril010/tasmania","Self-contained macOS app for running local LLMs — bundled llama.cpp, HuggingFace model browser, Claude Code connectivity","TypeScript","3","1","False","2026-02-10T22:02:20Z","2026-04-02T13:18:40Z","2026-03-21T02:53:48Z",""
"ozjimbob/ecbtools","https://github.com/ozjimbob/ecbtools","R tools developed by the University of Tasmania Environmental Change Biology lab.","R","2","2","False","2013-09-03T01:58:43Z","2021-01-17T20:26:28Z","2021-01-17T20:26:26Z",""
"admiraldolphin/govhack2013","https://github.com/admiraldolphin/govhack2013","Admiral Dolphin (Team Lion) from GovHack 2013 (Tasmania)","Python","1","2","False","2013-05-31T11:44:31Z","2023-04-09T23:58:41Z","2013-06-02T06:41:31Z",""
"jcdavenport/tasmania","https://github.com/jcdavenport/tasmania","CTO Challenge #8","Python","2","0","False","2019-09-23T19:34:35Z","2020-08-07T15:46:14Z","2022-12-08T06:42:14Z",""
"jbkajtar/sst_tasmania","https://github.com/jbkajtar/sst_tasmania","Code for processing Tasmanian region sea surface temperature from observational and CMIP6 data. Generated for Kajtar and Holbrook (2021): http://ecite.utas.edu.au/147866 and Kajtar et al. (2024): https://doi.org/10.1007/s10584-024-03684-8","MATLAB","3","0","False","2021-10-14T03:28:45Z","2024-02-06T12:07:12Z","2024-02-06T12:06:12Z","climate;cmip6;marine-heatwaves;noaa"
"cpunj/CitizenTas","https://github.com/cpunj/CitizenTas","Citizen Tasmania App","Dart","2","0","False","2020-04-21T22:55:30Z","2020-04-27T06:55:53Z","2020-04-22T00:41:01Z",""
"stuarta0/launceston-3d","https://github.com/stuarta0/launceston-3d","Open license city-scale LIDAR scan of Launceston, Tasmania, AU",,"5","1","False","2020-12-19T00:52:24Z","2025-03-25T16:05:19Z","2020-12-19T09:33:28Z",""
"SeaShadow/LaTeX-AMC-PhD-Thesis-Template","https://github.com/SeaShadow/LaTeX-AMC-PhD-Thesis-Template","LaTeX thesis template for postgraduate, Master or PhD theses. The LaTeX thesis template is based on current University of Tasmania (UTas) thesis guidelines. The thesis template is currently demonstrated for for Australian Maritime College, National Centre for Maritime Engineering & Hydrodynamics (NCMEH) PhD theses where AMC is a  specialised department of the University of Tasmania (UTas).","TeX","4","3","False","2015-08-16T07:23:21Z","2025-01-26T10:12:10Z","2020-07-08T03:38:30Z",""
"utasanalytics/utas-analytics","https://github.com/utasanalytics/utas-analytics","University of Tasmania, Student Project","PHP","2","0","False","2019-04-13T00:55:53Z","2019-05-28T09:28:39Z","2019-05-28T09:28:37Z",""
